Year Released,Album Length,Album Name,Artist
2019,1282599,JACKBOYS,JACKBOYS
2018,3522261,ASTROWORLD,Travis Scott
2017,2493789,"Huncho Jack, Jack Huncho",Huncho Jack
2016,3225190,Birds In The Trap Sing McKnight,Travis Scott
2015,4527049,Rodeo (Expanded Edition),Travis Scott
2021,5173117,Certified Lover Boy,Drake
2020,2995371,Dark Lane Demo Tapes,Drake
2019,4425273,Care Package,Drake
2019,4437727,So Far Gone,Drake
2018,5426391,Scorpion,Drake
2017,4899126,More Life,Drake
2016,4875485,Views,Drake
2015,2435958,What A Time To Be Alive,Drake
2015,4129729,If You're Reading This It's Too Late,Drake
2013,4076943,Nothing Was The Same (Deluxe),Drake
2013,3568770,Nothing Was The Same,Drake
2011,5005808,Take Care (Deluxe),Drake
2010,3927422,Thank Me Later (Int'l Version),Drake
2010,3668663,Thank Me Later,Drake
2009,4437710,So Far Gone,Drake
2021,5887777,Slime Language 2 (Deluxe),Young Stoner Life
2021,4513753,Slime Language 2,Young Stoner Life
2020,4359992,WUNNA (Deluxe),Gunna
2020,3005795,WUNNA,Gunna
2019,2895402,Drip or Drown 2,Gunna
2018,2332540,Drip Harder,Lil Baby
2018,3124075,Drip Season 3 (Deluxe),Gunna
2018,2542516,Drip Season 3,Gunna
2017,1210976,Drip or Drown,Gunna
2017,1210933,Drip or Down,Gunna
2017,3042558,Drip Season 2,Gunna
2016,2120403,Drip Season,Gunna
2021,3213980,Yellow Tape 2,Key Glock
2021,3713613,Dum and Dummer 2,Young Dolph
2020,2602928,Son Of A Gun,Key Glock
2020,2733981,Yellow Tape,Key Glock
2019,3629952,Dum and Dummer,Young Dolph
2018,2229194,Glockoma,Key Glock
2018,2830995,Glock Bond,Key Glock
2017,2223830,Glock Season,Key Glock
2021,3301818,Expensive Pain,Meek Mill
2018,4164304,Championships,Meek Mill
2017,4520648,Wins & Losses (Deluxe Edition),Meek Mill
2017,4023191,Wins & Losses,Meek Mill
2016,3336554,DC4,Meek Mill
